Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
9	1.5540815186559E-4	2.00528806458652E-4	2.62812262710015E-4	3.27521405193105E-4	4.10406720488763E-4	4.88326641937596E-4
8	1.55824774165394E-4	2.0092430285839E-4	2.63496923412612E-4	3.28086790312023E-4	4.11994937813659E-4	4.89035675321842E-4
7	1.56155317477635E-4	2.02076823041676E-4	2.6443975561859E-4	3.28724660702597E-4	4.12725463670085E-4	4.90042941304822E-4
6	1.57684080296749E-4	2.03082548548985E-4	2.65005454942178E-4	3.30074204669431E-4	4.14666768492254E-4	4.91295810604408E-4
5	1.59298922103426E-4	2.0334216888501E-4	2.67055640410212E-4	3.31228697359808E-4	4.16582369626882E-4	4.93909731616845E-4
4	1.59704067204888E-4	2.04426751036439E-4	2.67621339733799E-4	3.32406912502728E-4	4.16959807986036E-4	4.94645079642156E-4
3	1.60431721579751E-4	2.05963849007201E-4	2.6769221034257E-4	3.33683971197905E-4	4.18951167357626E-4	4.96577743835916E-4
2	1.61522055422213E-4	2.06890717870391E-4	2.69837311804495E-4	3.35327409993454E-4	4.204622736199E-4	4.96278049312677E-4
1	1.60912616190268E-4	2.07862474361772E-4	2.71228147501637E-4	3.35597582369627E-4	4.22100545494218E-4	4.9736718306786E-4
0	1.61960484398865E-4	2.08279807986035E-4	2.72713899192669E-4	3.3716853589352E-4	4.22831071350644E-4	5.01887453632992E-4
-1	1.63606314641065E-4	2.10065607680559E-4	2.73066986689941E-4	3.38224185031639E-4	4.27971808858826E-4	5.09566943050404E-4
-2	1.63252816932141E-4	2.09772018328606E-4	2.73514990181104E-4	3.38568160593498E-4	4.34094697796203E-4	5.22066397556186E-4
-3	1.62462037966398E-4	2.10539960724416E-4	2.75495570586952E-4	3.41710067641283E-4	4.37597163430068E-4	5.28273728998473E-4
-4	1.65006532838752E-4	2.12415535675322E-4	2.7796971416103E-4	3.4416534147938E-4	4.42057429631246E-4	5.34264695614226E-4
-5	1.66545625136374E-4	2.11952101243727E-4	2.7867715470216E-4	3.45564966179359E-4	4.45661357189614E-4	5.38077394719616E-4
-6	1.65348553349335E-4	2.12562330351298E-4	2.80374252672922E-4	3.4689078769365E-4	4.48483351516474E-4	5.40719092297622E-4
-7	1.65990128736635E-4	2.14448823914467E-4	2.80540039275584E-4	3.50596761946323E-4	4.51305345843334E-4	5.43578616626664E-4
-8	1.68608077678377E-4	2.14731494654157E-4	2.83250840061095E-4	3.51701173903557E-4	4.54354614881082E-4	5.48071110626227E-4
-9	1.66620226925595E-4	2.13793707178704E-4	2.83792493999564E-4	3.53542299803622E-4	4.57403883918831E-4	5.48996508837006E-4
-10	1.63894392319441E-4	2.15409661793585E-4	2.85442766746673E-4	3.55948810822605E-4	4.58587606371372E-4	5.54062077241981E-4
-11	1.6648135282566E-4	2.13895614226489E-4	2.87163910102553E-4	3.58672939122845E-4	4.62367401265547E-4	5.56104385773511E-4
-12	1.64610569495963E-4	2.16007759109753E-4	2.87800480034912E-4	3.60809277765656E-4	4.65618241326642E-4	5.59317695832424E-4
-13	1.63616644119572E-4	2.17273104953088E-4	2.89520357844207E-4	3.6287049530875E-4	4.67029238490072E-4	5.59943399519965E-4
-14	1.66438887191796E-4	2.12934776347371E-4	2.91099759982544E-4	3.65374531965961E-4	4.70380187650011E-4	5.65389068295876E-4
-15	1.60955081824133E-4	2.10482941304822E-4	2.93551123718089E-4	3.6630761509928E-4	4.75848308967925E-4	5.67622888937377E-4
-16	1.54553100589134E-4	2.04426751036439E-4	2.92725987344534E-4	3.67240698232599E-4	4.75898363517347E-4	5.70944381409557E-4
-17	1.52179615972071E-4	2.00439031202269E-4	2.96144228671176E-4	3.70308802094698E-4	4.78746061531748E-4	5.77125398210779E-4
-18	1.40732258346062E-4	1.95761012437268E-4	2.98690508400611E-4	3.73279380318569E-4	4.81518001309186E-4	5.77670696050622E-4
-19	1.27990272747109E-4	1.89615046912503E-4	2.99043595897884E-4	3.76176155356753E-4	4.83659524329042E-4	5.80612088151866E-4
