Thickness	-Seebeck	Independent Variable	Polynomial Fit of -Seebeck	Thickness	Conductivity	Independent Variable	Polynomial Fit of Conductivity	Thickness	Power factor	Independent Variable	Polynomial Fit of Power factor	
Layer	\g(m)V/K	Layer	\g(m)V/K	Layer	S/m	Layer	S/m	Layer	mW/mK^2	Layer	mW/mK^2	
Thickness	-Seebeck	Thickness	Fitted Curves Plot of -Seebeck	Thickness	Conductivity	Thickness	Fitted Curves Plot of Conductivity	Thickness	Power factor	Thickness	Fitted Curves Plot of Conductivity	
39	6.02770633318787E-5	0.495495495495495	1.52125628445441E-4	39	6.66220249835634	0.945945945945946	264.441846810127	39	2.42059426546156E-8	0.495495495495495	8.69037912732411E-6	
		0.540540540540541	1.52882157096809E-4			0.990990990990991	252.421762864212			0.540540540540541	8.68681910327667E-6	
		0.585585585585586	1.53640339489385E-4			1	250.147692928498			0.585585585585586	8.68314031508069E-6	
		0.630630630630631	1.54400162963041E-4			1.03603603603604	241.446903609246			0.630630630630631	8.67934291487809E-6	
		0.675675675675676	1.55161614727219E-4			1.08108108108108	231.386615958861			0.675675675675676	8.67542705967095E-6	
		0.720720720720721	1.55924681860991E-4			1.12612612612613	222.131151320507			0.720720720720721	8.67139291131065E-6	
		0.765765765765766	1.5668935131313E-4			1.17117117117117	213.587645500487			0.765765765765766	8.66724063648666E-6	
		0.810810810810811	1.5745560990218E-4			1.21621621621622	205.676991963432			0.810810810810811	8.66297040671518E-6	
		0.855855855855856	1.58223444316551E-4			1.26126126126126	198.331385107595			0.855855855855856	8.65858239832726E-6	
		0.900900900900901	1.58992841114611E-4			1.30630630630631	191.492371828023			0.900900900900901	8.65407679245662E-6	
		0.945945945945946	1.5976378672479E-4			1.35135135135135	185.109292767089			0.945945945945946	8.64945377502734E-6	
		0.990990990990991	1.60536267445699E-4			1.3963963963964	179.138025258473			0.990990990990991	8.64471353674087E-6	
		1.03603603603604	1.61310269446251E-4			1.44144144144144	173.539961969146			1.03603603603604	8.63985627306308E-6	
		1.08108108108108	1.62085778765797E-4			1.48648648648649	168.281175242808			1.08108108108108	8.63488218421081E-6	
		1.12612612612613	1.6286278131427E-4			1.53153153153153	163.331728912137			1.12612612612613	8.62979147513798E-6	
		1.17117117117117	1.63641262872336E-4			1.57657657657658	158.665108086076			1.17117117117117	8.62458435552172E-6	
		1.21621621621622	1.64421209091556E-4			1.62162162162162	154.257743972574			1.21621621621622	8.61926103974776E-6	
		1.26126126126126	1.65202605494564E-4			1.66666666666667	150.088615757099			1.26126126126126	8.61382174689594E-6	
		1.30630630630631	1.65985437475242E-4			1.71171171171171	146.138915342439			1.30630630630631	8.608266700725E-6	
		1.35135135135135	1.66769690298917E-4			1.75675675675676	142.391763666991			1.35135135135135	8.60259612965731E-6	
		1.3963963963964	1.67555349102561E-4			1.8018018018018	138.831969575317			1.3963963963964	8.59681026676328E-6	
		1.44144144144144	1.68342398894999E-4			1.84684684684685	135.445823975919			1.44144144144144	8.59090934974529E-6	
		1.48648648648649	1.69130824557138E-4			1.89189189189189	132.220923405063			1.48648648648649	8.58489362092143E-6	
		1.53153153153153	1.69920610842189E-4			1.93693693693694	129.146018209597			1.53153153153153	8.57876332720904E-6	
		1.57657657657658	1.70711742375915E-4			1.98198198198198	126.210881432106			1.57657657657658	8.5725187201076E-6	
		1.62162162162162	1.71504203656877E-4			2	125.073846464249			1.62162162162162	8.56616005568174E-6	
		1.66666666666667	1.72297979056699E-4			2.02702702702703	123.406195178059			1.66666666666667	8.55968759454367E-6	
		1.71171171171171	1.73093052820333E-4			2.07207207207207	120.723451804623			1.71171171171171	8.55310160183531E-6	
		1.75675675675676	1.73889409066345E-4			2.11711711711712	118.154867723674			1.75675675675676	8.54640234721027E-6	
		1.8018018018018	1.74687031787203E-4			2.16216216216216	115.69330797943			1.8018018018018	8.5395901048155E-6	
		1.84684684684685	1.75485904849578E-4			2.20720720720721	113.332220061483			1.84684684684685	8.53266515327239E-6	
		1.89189189189189	1.76286011994655E-4			2.25225225225225	111.065575660253			1.89189189189189	8.52562777565801E-6	
