Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300K	T=260K	T=220K	T=180K	T=140K	T=100K
-5	2.68752512682741E-4	2.09127822932577E-4	1.61854988374154E-4	1.17421984780711E-4	7.47987658193323E-5	3.99638524847262E-5
-6	2.71288172662557E-4	2.10663227211979E-4	1.6333935860108E-4	1.17862108607899E-4	7.60906979598516E-5	3.53023742635828E-5
-7	2.73455792807659E-4	2.12139709592516E-4	1.64010726461924E-4	1.17696939095571E-4	7.37222343443159E-5	3.63289475030002E-5
-8	2.75848737862754E-4	2.13084837988217E-4	1.64946834087934E-4	1.18531402056513E-4	7.16477348352608E-5	3.29587606371373E-5
-9	2.78137665693869E-4	2.13793486117172E-4	1.66393638173685E-4	1.18293124727253E-4	6.90329642155793E-5	2.36441613367336E-5
-10	2.79957280984072E-4	2.14502134246127E-4	1.66819049339952E-4	1.16981860953524E-4	6.73456196814314E-5	2.48349411207179E-5
-11	2.80632432358717E-4	2.14659611608117E-4	1.66157326839679E-4	1.16990968661357E-4	6.57899219943269E-5	2.27522058422431E-5
-12	2.80797103425704E-4	2.1367537809568E-4	1.66232966772583E-4	1.16220751963779E-4	6.12063468252237E-5	1.55538381484563E-5
-13	2.80407381900502E-4	2.12848357721471E-4	1.66223321412012E-4	1.12204252809295E-4	6.02836392646738E-5	1.51162853037039E-5
-14	2.79161370826969E-4	2.12060970911521E-4	1.63897266562568E-4	1.0916892455815E-4	5.752825660048E-5	1.582309622518E-5
-15	2.76952034011565E-4	2.08104220079642E-4	1.61987231344098E-4	1.07252367444905E-4	4.93458624263583E-5	7.90944753368427E-6
-16	2.72903595829697E-4	2.04088018901375E-4	1.62119728139319E-4	1.03584422730744E-4	4.69420098734453E-5	6.09194986908139E-6
-17	2.62843016992145E-4	2.00583883373336E-4	1.57732104380319E-4	9.63401026892865E-5	4.42437213615536E-5	8.37643106998691E-6
-18	2.55011535498036E-4	1.93890567041239E-4	1.50923495117827E-4	9.18468027220162E-5	3.43385937159066E-5	5.83531785266201E-6
-19	2.44950956660484E-4	1.82059155438577E-4	1.46450839890628E-4	8.58773156229544E-5	2.6296575660048E-5	5.25894610517129E-7
-20	2.28387791839407E-4	1.72275213765547E-4	1.40257503102498E-4	7.34516944414139E-5	2.45563836460834E-5	5.63339123527166E-6
-21	2.08573471252455E-4	1.60167688331879E-4	1.28097241674395E-4	6.6234943677722E-5	1.88260417575824E-5	4.9181779981726E-6
-22	1.88247847002509E-4	1.40087739335588E-4	1.15956270967434E-4	5.97150556404102E-5	1.06962119517783E-5	-1.95632560208924E-6
-23	1.59047001145538E-4	1.2075580780875E-4	1.06311418046312E-4	4.76933736089898E-5	1.07049884082479E-5	-1.21586927912939E-6
-24	1.22874256764128E-4	1.03274499509055E-4	8.73242719356863E-5	3.35163648265328E-5	1.02699404047567E-5	2.93658672335261E-6
