Temperature	-Seebeck	Independent Variable	Linear Fit of High Temperature	Independent Variable	Linear Fit of Low Temperature
K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K
Temperature	-Seebeck	Temperature	Fit Curve of High Temperature	Temperature	Fit Curve of  Low Temperature
		89.039039039039	-4.36184886895037E-5	89.039039039039	4.00210284939778E-5
		89.6396396396396	-4.29051670983565E-5	89.6396396396396	4.04798243561626E-5
		90.2402402402402	-4.21918455072093E-5	90.2402402402402	4.09381584618379E-5
		90.8408408408408	-4.14785239160622E-5	90.8408408408408	4.13960308110035E-5
		91.4414414414414	-4.0765202324915E-5	91.4414414414414	4.18534414036596E-5
		92.042042042042	-4.00518807337678E-5	92.042042042042	4.2310390239806E-5
		92.6426426426426	-3.93385591426207E-5	92.6426426426426	4.27668773194429E-5
		93.2432432432432	-3.86252375514735E-5	93.2432432432432	4.32229026425701E-5
		93.8438438438438	-3.79119159603263E-5	93.8438438438438	4.36784662091877E-5
		94.4444444444444	-3.71985943691791E-5	94.4444444444444	4.41335680192958E-5
		95.045045045045	-3.64852727780319E-5	95.045045045045	4.45882080728942E-5
		95.6456456456456	-3.57719511868848E-5	95.6456456456456	4.50423863699831E-5
		96.2462462462462	-3.50586295957376E-5	96.2462462462462	4.54961029105623E-5
		96.8468468468468	-3.43453080045904E-5	96.8468468468468	4.59493576946319E-5
		97.4474474474474	-3.36319864134432E-5	97.4474474474474	4.6402150722192E-5
		98.048048048048	-3.29186648222961E-5	98.048048048048	4.68544819932424E-5
		98.6486486486486	-3.22053432311489E-5	98.6486486486486	4.73063515077832E-5
		99.2492492492493	-3.14920216400017E-5	99.2492492492493	4.77577592658145E-5
		99.8498498498498	-3.07787000488545E-5	99.8498498498498	4.82087052673361E-5
		100.45045045045	-3.00653784577074E-5	100.45045045045	4.86591895123481E-5
		101.051051051051	-2.93520568665602E-5	101.051051051051	4.91092120008505E-5
		101.651651651652	-2.8638735275413E-5	101.651651651652	4.95587727328434E-5
		102.252252252252	-2.79254136842658E-5	102.252252252252	5.00078717083266E-5
		102.852852852853	-2.72120920931187E-5	102.852852852853	5.04565089273002E-5
		103.453453453453	-2.64987705019715E-5	103.453453453453	5.09046843897642E-5
		104.054054054054	-2.57854489108243E-5	104.054054054054	5.13523980957186E-5
		104.654654654655	-2.50721273196771E-5	104.654654654655	5.17996500451634E-5
		105.255255255255	-2.43588057285299E-5	105.255255255255	5.22464402380986E-5
		105.855855855856	-2.36454841373828E-5	105.855855855856	5.26927686745242E-5
		106.456456456456	-2.29321625462356E-5	106.456456456456	5.31386353544402E-5
		107.057057057057	-2.22188409550884E-5	107.057057057057	5.35840402778466E-5
		107.657657657658	-2.15055193639412E-5	107.657657657658	5.40289834447435E-5
		108.258258258258	-2.07921977727941E-5	108.258258258258	5.44734648551306E-5
		108.858858858859	-2.00788761816469E-5	108.858858858859	5.49174845090082E-5
		109.459459459459	-1.93655545904997E-5	109.459459459459	5.53610424063762E-5
		110.06006006006	-1.86522329993525E-5	110.06006006006	5.58041385472346E-5
		110.660660660661	-1.79389114082054E-5	110.660660660661	5.62467729315834E-5
		111.261261261261	-1.72255898170582E-5	111.261261261261	5.66889455594226E-5
		111.861861861862	-1.6512268225911E-5	111.861861861862	5.71306564307522E-5
		112.462462462462	-1.57989466347638E-5	112.462462462462	5.75719055455722E-5
		113.063063063063	-1.50856250436167E-5	113.063063063063	5.80126929038826E-5
		113.663663663664	-1.43723034524695E-5	113.663663663664	5.84530185056834E-5
		114.264264264264	-1.36589818613223E-5	114.264264264264	5.88928823509746E-5
		114.864864864865	-1.29456602701751E-5	114.864864864865	5.93322844397561E-5
		115.465465465465	-1.2232338679028E-5	115.465465465465	5.97712247720281E-5
		116.066066066066	-1.15190170878808E-5	116.066066066066	6.02097033477905E-5
		116.666666666667	-1.08056954967336E-5	116.666666666667	6.06477201670433E-5
		117.267267267267	-1.00923739055864E-5	117.267267267267	6.10852752297864E-5
		117.867867867868	-9.37905231443927E-6	117.867867867868	6.152236853602E-5
		118.468468468468	-8.66573072329208E-6	118.468468468468	6.1959000085744E-5
		119.069069069069	-7.95240913214492E-6	119.069069069069	6.23951698789583E-5
		119.66966966967	-7.23908754099773E-6	119.66966966967	6.28308779156631E-5
		120.27027027027	-6.52576594985057E-6	120.27027027027	6.32661241958583E-5
		120.870870870871	-5.81244435870338E-6	120.870870870871	6.37009087195439E-5
		121.471471471471	-5.09912276755621E-6	121.471471471471	6.41352314867198E-5
		122.072072072072	-4.38580117640902E-6	122.072072072072	6.45690924973862E-5
		122.672672672673	-3.67247958526186E-6	122.672672672673	6.50024917515429E-5
