ln (n2d)	EA	ln ( |Seebeck| )	Independent Variable	Linear Fit of EA	Independent Variable	Linear Fit of ln ( |Seebeck| )
	meV			meV		
ln (n2d)	EA	ln ( |Seebeck| )	Fit Curve of EA	Fit Curve of EA	Fit Curve of ln ( |Seebeck| )	Fit Curve of ln ( |Seebeck| )
			28.3626126126126	143.633502228499	28.3626126126126	5.74706661518021
			28.3641141141141	143.471820147668	28.3641141141141	5.74681057666441
			28.3656156156156	143.310138066836	28.3656156156156	5.74655453814861
			28.3671171171171	143.148455986005	28.3671171171171	5.74629849963282
			28.3686186186186	142.986773905173	28.3686186186186	5.74604246111702
			28.3701201201201	142.825091824342	28.3701201201201	5.74578642260122
			28.3716216216216	142.66340974351	28.3716216216216	5.74553038408542
			28.3731231231231	142.501727662678	28.3731231231231	5.74527434556963
			28.3746246246246	142.340045581847	28.3746246246246	5.74501830705383
			28.3761261261261	142.178363501015	28.3761261261261	5.74476226853803
			28.3776276276276	142.016681420183	28.3776276276276	5.74450623002223
			28.3791291291291	141.854999339352	28.3791291291291	5.74425019150644
			28.3806306306306	141.69331725852	28.3806306306306	5.74399415299064
